place,gid,name,place_type,address,area,coordinates,ended
id-2752,ba7733f7eed44bf4a75837c30f516625,MECCA,Other,,id-12057,,t
id-1251,c4f9728f491049469d9c6a53c84fcc2e,David Geffen Hall,Venue,10 Lincoln Square 132 NY 10023,id-116093,4077277873983056,f
id-1589,5bf4e91975d24de7910cef31e1d71991,Parque de Santa Catalina,Park,,id-12783,281405154306,f
id-33642,ee7ece5fc96249758bbd7dd84db9a45c,三鷹市芸術文化センター,Other,〒1810012 東京都三鷹市上連雀61214,id-118302,35700587139561703,f
id-28995,09c239dbc2ed453bb9fc843a621158b6,Nood Factory Tonstudio,Studio,,id-653,,f
id-51487,fa17317d707545e3a9360a91e0a1332e,SLASH SOUND STUDIO,Studio,,id-107,,f
id-49888,9dbaa5205aee4943bccf08cfd7e55e76,RoundSound,Studio,Telliskivi 57 10412,id-5111,,f
id-22109,ccb5da21d6cb4eda9e384e30c8f5269d,McDonald Theatre,Venue,1010 Willamette St Eugene OR 97401,id-45171,4404851512309306,f
id-10972,e698182163634753abb90ed5cc25404a,Nevessa Productions,Studio,18 Artist Ln Saugerties NY 12477,id-59394,,f
id-9420,e4a91b964ada4fbdbf00e94d08aa6152,Wireland Studios,Studio,,id-30632,,f
id-8762,ba98c64aba2342abbd3542011c62480d,Bowling Otter Studios,Studio,,,,f
id-6975,fcf0d8d25d62486bb4ae582eb30a6f24,Bilgi Üniversitesi Kuştepe Kampüsü,Other,İnönü Cad No 6 Kuştepe 34387 Şişli İstanbul,id-5065,410726712899079,f
id-3015,ede5281aa94f47dc9db518a6cbe6ae43,Coliseu dos Recreios,Venue,Rua Portas de Santo Antão 96 1150269,id-5062,387167339140175,f
id-31209,aa6ec04afa554df896b25f27b1351166,Säälchen,Venue,Holzmarktstraße 25 10243 Berlin,id-326,5251140913427082,f
id-4345,b6762203735a424d88ef1642cf07139b,Tartu lauluväljak,Venue,Laulupeo puiestee 25 51007,id-5180,5838822626702817,f
id-29995,db14ec1fa90d4073a1fdd16a688f74ef,MRA Arena,Indoor arena,,id-3926,,f
id-46803,a75cea354958476ba6e9ba156acb2112,The Cosmic Dust Recorders,Studio,,id-7703,,f
id-36809,b25aa1ec3fe44efca705f3e4b719094f,The Mixing Lab,Studio,,id-7339,,f
id-57093,d95347654a3a416cbe75a90834e37d42,Hard Rock Café Dublin,Venue,12 Fleet St Temple Bar Dublin D02 NW56,id-9622,,f
id-37470,39357e8af8754bf7bf239f974f5e58fb,Crosby Hall,,,id-1178,,t
id-14675,dc34c3e931ea4c90a9fdfc218801bc0d,Music Hall,Venue,,id-326,,f
id-1058,648d02110fb34dd4bbf61d33697243de,Twilight Hall Studios,Studio,GrefrathOedt Germany,id-72200,,f
id-7714,4aab83f116da42e0a964085b2dd2fdfe,Laboratorio Soyuz,Studio,,id-194,,f
id-49980,4d3ff78f673f4e418c3d14ac42a63435,Commercial Recording Studio,Studio,1120 Chenevert,id-7326,,f
id-25622,275cd2510bc74a728a950438faabfaea,National Guard Armory,Other,Ocean Avenue Long Branch NJ USA,id-28034,,f
id-2930,69e21a9e53b74962a28072fefb1d51ac,Neuwerkskirche,Religious building,Klostergang 3 99084,id-8851,5097232911025019,f
id-6652,b0cd9fc1397049619c5ab68bdf5cc2f9,Piazza Napoleone,Other,Piazza Napoleone 27 55100 Lucca LU Italy,id-14228,4384139710502667,f
id-48999,e1470db182814708aa9308a6a4ebfa4b,Rittergutschloss Taucha,Other,Haugwitzwinkel 1 04425 Taucha Germany,id-69995,5138149512497367,f
id-13576,1b545c38040d4ad4b0e7fd23595d6e0d,Maverik Center,Indoor arena,3200 Decker Lake Drive West Valley City UT 84119,id-23377,4070285111950616,f
id-42285,dae25ca6f800403cb7057b3112590e9a,Wicked Wahine,,,id-273,,f
id-28655,c3dd3217dc554a808260e1c4374720ef,Eventhusetcom,Venue,Vretensborgsvägen 5 12630 Hägersten Stockholms Län Sweden,id-5114,592991418017704,f
id-14182,d5c4506a014145ccb34bd24217691de5,Engfelt  Forsgren Studios,Studio,,,,f
id-48716,f3a70b0270d44d06b224bb656fe3cb0a,The Mona Museum,Educational institution,655 Main Rd Berriedale TAS 7011 Australia,id-119391,42812778147261111,f
id-22314,0b0fc96779324e86ae40b0f45f4e0d44,Space Velio,Studio,,id-397,,f
id-52446,e846dab001a34e5492672b5138b8ec6b,UNICAMP Universidade Estadual de Campinas,Educational institution,,id-88767,,f
id-47035,31da4f0039e1450780f4915857ad77a4,Winchesters,Venue,85 Front St E Toronto ON M5E 1B8,id-5076,4364878579372342,t
id-52981,93f08e9201964edaa20549d2e72bf22f,Vortn Vis,Venue,Kiekenmarkt 7 8900 Ieper,id-101373,50849462884307,f
id-3949,38f738f769c148e3b00b21748a8bafc9,Apex Studios,Studio,,id-7020,,f
id-7107,c23004edcd3f42e0b75fef39fcaffa88,A Secret Location,Studio,Christmas Street Melbourne 3000,id-5121,,f
id-41462,6b314ace8644430abb79db5f8dab72e5,ファニスペース原宿,Venue,〒1500001 東京都渋谷区神宮前32515 5F,id-116702,35671639139708194,f
id-9736,3f977f5c9476466e9e68ec85bbd0bad0,Artheater,Venue,Ehrenfeldgürtel 127 50825 Köln,id-7954,509531486918527,f
id-17375,7ea8d3cba841402db49cdbe579c90794,Ocean Center Arena,Indoor arena,101 N Atlantic Ave Daytona Beach FL 321184203,id-22844,292287810106,f
id-1225,ecef7b1c785b4639a90d54f47b5ce66e,KAUE,Venue,Wilhelminenstraße 176 45881 Gelsenkirchen,id-23737,515175397068581,f
id-30712,09bbfe134f1e45d0bad87bed52cab46f,HiBPM Studio,,,,,f
id-55817,56a4b812f08541d3b4f30cb8879d1ab0,Penny Studios,Studio,,id-7952,,f
id-2759,8959a1e3fedc4917ab5074394fdcac8e,Scumbag College,Studio,,id-31090,,f
id-45971,5b4161216bd142f3b59d54f5ccbfdfcf,Capella,Venue,Лиговский пр дом 50 корпус 16,id-2450,599355333036554,f
id-45553,e82981f629bf4334b252da12309a68b4,dada,Venue,Московский проспект 1093 СанктПетербург,id-2450,598901130317271,f
id-34404,0b4cf1d8cd1e4f858153a542cb8fb5e2,Threshold Recordings,Studio,,id-5782,,f
id-43637,377eb8fbe00e4101b8d503eff660cae9,Theatre Royal,Venue,,id-30897,50823301396,f
id-17332,5645ce6c36b44a19b22d1f3d8e8c5fcc,Sugarfoot Mastering,Studio,,id-5152,,f
id-46450,6a6a1201604f4be790f2e977ae3fa413,Caledonien Hall,Venue,Radisson Blu Caledonien Hotel Vestre Strandgate 7 4611 Kristiansand Norway,id-12389,,f
id-51386,67b64fc30eab40a7bc5b227b6d7e5b0f,Expo Center Norte,Venue,Rua José Bernardo Pinto 333  Vila Guilherme São Paulo  SP 02055000 Brazil,id-80664,2351142246612606,f
id-29495,0baf8cecb2fc432c8bf923428a287d54,Akins Ford Arena at The Classic Center,Indoor arena,,id-31088,,f
id-21552,d1dedbd3b8a543a59d241b831411cff3,Abels Crib,Other,325 Bay Street Toronto Ontario M5H 4G3,id-5076,4364972279380278,f
id-39290,d8c7c37b6d914ddfa49b466dafbe5aee,Studio B Hayes Middlesex,Studio,,id-88668,,f
id-56845,e698aa9b5656416aa36e8a8f37e4c419,Kulturcafé der Uni Mainz,Venue,JohannJoachimBecherWeg 5 55128 Mainz Germany,id-8854,499941868245289,f
id-26055,fcffec1c9acb49b3888bf4b00af9e400,Kendall Hall,Venue,,id-118012,,f
id-11925,6adaacffb6fb42dc82565ce043b35fa0,Killion Sound,Studio,,id-39882,,f
id-2714,df0ad79003ca46bd9572d9bb3de89e66,Barrowland Ballroom,Venue,244 Gallowgate Glasgow Scotland,id-3855,558550614236807,f
id-8829,c990761c3ee24fc09bad6d5d85d28945,Schlosskirche,Religious building,,id-8966,509803113322,t
id-9574,9d9b35aa13664f4eaeb6eff6bb7bc892,Music Hall Center for the Performing Arts,Venue,350 Madison Street Detroit MI 48226 United States,id-5179,4233722283046111,f
id-17937,bdc1b010d6bb4d61bce0e1eb9d73b6e6,Pork Pie Studios,Studio,,id-5076,,f
id-19767,dc90dd0901754cd09c2db4571a3da422,Jugendhaus Mitte,Venue,,id-7708,,f
id-18377,e03188865b8d452d8cf876ed3782198a,横浜産貿ホール,Venue,〒2310023 神奈川県横浜市中区山下町2,id-11811,35446944139646111,f
id-34486,89b13679075c4ea3b446804886881557,Cowboy Arms Hotel and Recording Spa,Studio,,id-5213,,f
id-3253,cb71b62ca296424d8212357fa9a04146,La Chapelle des Lombards,Venue,14 rue des Lombards 75004 Paris France,id-4434,488591962349734,t
id-43899,7b2701d3edf2423ba2aa793f7c96f14b,Greatsounds Studio,Studio,,,,f
id-50494,fcd643f69d0147bdbcd18ac93704daad,Huntington City Beach,Other,,id-22328,33650994117995996,f
id-18809,aa143c914b91403f9a40d0792c5d7d79,Diigrep,Studio,,id-7703,,f
id-45224,21940817199349ad8711bf5b19dd03bc,The Big Easy,Venue,919 W Sprague Ave Spokane WA 99201,id-21777,,t
id-12023,c3adaa6aa37941b4bdd02c6582eec95e,Pier 2,Venue,Gröpelinger Fährweg 6 28237 Bremen,id-23698,531080268751029,f
id-45821,a6084cc2778c47e7807918559f0bcffc,Somis Recording,Studio,,id-115167,,f
id-13966,e7692c559cf14969ac3452f3551c230a,Studio Fast Forward,Studio,,id-7279,,f
id-35860,b9e11fe0cb7b43078a468942a31751fb,CBGB,Venue,,id-7296,,f
id-57356,252aff0b6a214a78b79765c82a5b388f,REI Studios,Studio,,id-3822,,f
id-14039,6645a264247a4d728a80a3449bf64549,Revolution Bar  Music Hall,Venue,140 Merrick Rd Amityville NY 11701,id-87946,4067126173419026,t
id-1380,b7313aee71af45c0b53bb994aedc0c5e,Johanneskirche,Religious building,Kirchstraße 9 31832 Springe,id-69946,522158579625313,f
id-33496,c10661338d5f4e3aa5fa9de075632527,Embeat,Studio,,id-81,,f
id-27573,513a9b05051744dfb17fb342bc9b99e4,Studio Jardim Magnético,Studio,Itaipava,id-116591,,f
id-44052,b73a09a25e4d403f8b6c2fa481122c6f,Princeton Abbey,Religious building,,id-44467,,f
id-37207,2f6d8219bb77457385d16214838eb805,Post Logic Studios,Studio,,id-39882,,f
id-36327,4a898ef15d0347f4af4d24108d3ed1b1,Microphonic Mastering,Studio,77 13th Ave NE Minneapolis MN 55413,id-5239,4500088193254967,f
id-36666,d5a8ddfa1c3143ab8d0cb43429fbbb88,Laura Secord Secondary School,Educational institution,,id-23204,,f
id-20775,ae2dfe79ea1b48e8b45c78172417ed21,Born to Boogie Studios,Studio,,,,f
id-25526,734945ab83844deeab15cfd2cc716740,下北沢屋根裏,Venue,〒1550031 東京都世田谷区北沢265 ルイビル3F,id-118129,35661401139666851,t
id-13756,1f267f9b4f3c4696af47a67013a8e44d,Mix Masters Miami,Studio,,id-12314,,f
id-4759,206411c5300d43c5a69e440b6776b0c0,Vilnius Recording Studio,Studio,,id-13235,,f
id-13365,adef40122cf941818ce2171b942c1f89,Hz,Venue,Charlottenstraße 12 88045 Friedrichshafen,id-69082,476541819477319,t
id-46360,3ff2301b7d33426bae3d0b5c3dd1e3c5,Garage,Studio,,id-7324,,f
id-26236,8998d03f8245498e9eb70ebcf3196fbd,Amazing Grace Night Club,Venue,,id-5757,,f
id-25336,f066ff0dbfe64756b2fad5a277e9626c,새터산 사운드,Studio,,id-113,,f
id-7166,8e81d084a6a446bbb0870f20c5e79bc7,Bla,Venue,Bornheimerstraße 2022 53111 Bonn,id-7023,507364057093592,f
id-16567,00587c00c21d4cfc969a13f0b69a0349,Neverland Studio,Studio,,id-105,,f
id-18458,536893380e0047e4b27fb4f890a2d75f,Judys Velvet Lounge,Venue,777 River City Casino Blvd St Louis MO 63125,id-7952,385308902645,f
id-33866,5ae01d69e7224c0a96d8fd6af4313397,Click,Venue,,id-7707,,f
id-1801,f9701063c9dd4adb9c2bfb922941749b,Pacific Multimedia,Studio,2419 Woodley Avenue Granada Hills,id-7703,3428231184849,f
id-31048,580ab2b0b588426583931b1b41a01108,Sound Ranger Studio,Studio,Schleebrüggenkamp 8,id-69541,,f
id-1157,1e14f2c5e5254645a90e8ca6c9afa08f,Örebro Konserthus,Venue,Fabriksgatan 2 701 20 Örebro Sweden,id-12899,592723911520839,f
id-30495,21ecc01df3cc47b0862c256ed4607fb3,The Water Tower,Studio,,id-116223,,f
id-43242,19e7ddb6fdb34966955a34bab0778f52,Gold Coast Parklands,Other,,id-88313,,t
id-9206,944850c4e91d49dd9af8e676593fa9a3,CorbNation Studios,Studio,,,,f
id-46174,a902eab4dbf04d95811ffe7b03c5218c,Stagges Hotel,Venue,,id-69685,,f
id-33489,a05daaa1f3c644ee9f8479337fde05f3,One Drop Studio,Studio,,id-13463,,f
id-29492,cb1057d1b2484ea4aa7691b0999747ae,The Classic Center,Other,300 N Thomas Street Athens GA 30601,id-31088,3396047183375293,f
id-2170,efaa0cf11ff644aa8d838da7bdb56519,Town Pump,Venue,66 Water Street Vancouver,id-5212,49283634123105775,t
id-18402,e17a1af6cfbc48bc8ed5573d3ab90490,Société nationale de musique,Other,184 rue du FaubourgSaintDenis 75010 Paris,id-4434,488807235795,t
id-26977,7b2530a48c1f42d786ca55751475e66c,LudgerDuvernay Theatre,Venue,1182 SaintLawrence Boulevard Montreal Quebec Canada H2X 2S5,id-118350,4550897773562341,f
id-21521,9086c85e87464684ac5532d7f4926358,ATP Tonstudio,Studio,,id-30672,,f
id-12167,b516aeedd4cb400da6fc1200fb6228bd,Paste Studio,Studio,,,,f
id-15921,af1b0ef7bbeb4f418c357d1613373191,FUTURA Studio,Studio,,id-105,,f
id-42548,9146c819006e4ddc944752a32fb28722,The Croxton Bandroom,Venue,607 High St Thornbury VIC 3071,id-119009,37762366144999594,f
id-42148,7885eac9d8ac48c3bb0f3c2ccd3eab55,Working Mans Productions,Studio,,id-7795,,f
id-19267,8bedccdbe82a4b9a99287b830d570dde,Nikos Nido,Studio,,,,f
id-3575,dca2464368984f6a9f3723a409421f54,Le Réservoir,Venue,16 rue de la Forge Royale 75011 Paris France,id-4434,488514472380528,f
id-22998,b7e54c05858a4fb5adfbe7ac26d3ab7e,Lounge Ax,Venue,2438 N Lincoln Avenue Chicago IL 60614,id-5099,,t
id-27960,b5cf97d6cded412db43faa5b18f397d0,Roser,,,,,f
id-8276,4d7bf658c49e41e5b560471ccb62b94f,St Jean Baptiste,Religious building,,id-47778,,f
id-24096,0c78b2e88d034dba9e199b3a24bcf94a,ThürmerSaal,Venue,,id-7717,514708337225278,f
id-42288,715ebf3c1a934f8ca5b60cefc888bcfd,Woodbrook Elementary School,Educational institution,15 Robin Road Edison New Jersey 08820 United States,id-119019,4055772974377814,f
id-25691,787288c960c842ba8f14f32f3c48c367,St Marys Hall Auditorium Theatre,Venue,,id-118016,,f
id-21915,0f1279156a33465cb2360a6b3094cb5e,Eglise Protestante Lutherienne SaintJean,Religious building,147 Rue de Grenelle 75007,id-4434,488575230802,f
id-11670,a8039e97f3db4f7f9fe565c1eca6fcd3,Smoothie King Center,Indoor arena,1501 Girod Street New Orleans LA 70113,id-116607,2994888990081944,f
id-47052,c417544b05a149949d42dd43a8e1c507,The Firehouse,Venue,1015 N 1st St Phoenix AZ 85004,id-7731,33458065112072556,t
id-16464,899ad09e9537479fb60c993559c581f1,Peace Music,Studio,,id-397,,f
id-47983,e4610e61af894a9e95bb73c4733f283d,VERO,,,id-113,,f
id-17033,2831744ecf234af4a6aea556b260a52e,LPG Studio,Studio,,id-7020,,f
id-38476,aaf9624024384e318b8345414029a1e7,Château de La Brède,Other,,id-49835,446791670544361,f
id-15159,2929cf183922493fbbc90fae64469205,WFMU,Studio,,id-66426,407886742556,f
id-54314,b76dfc46b47940f89263814d8db7727e,Подвал приёмной комиссии МГИМО,Studio,Москва НиколоЩаповский переулок,id-2429,,f
id-32627,d3300914c7ce4173ae2f4cb7e24cd1a2,Bobtale Studio,Studio,,id-68706,,f
id-49365,498b0f15a3b146b1869f6c0074341545,Zepp Haneda TOKYO,Venue,〒1440041 東京都大田区羽田空港114 HANEDA INNOVATION CIT,id-8396,,f
id-56227,14d67ec3b8fe4f8abe2056e5d09fa833,The Venue,Venue,,id-3924,,f
id-23599,cb87ab78efeb4d7cbf529d7944616a7f,Division HiFi,Studio,,id-7022,,f
id-51832,15a2e0b9d42f46ba969a9fc059937a77,Moagem,Venue,,id-98428,,f
id-18833,fba585c4f1744a29907c0c179c5a9ab2,Scott Reithermans house,,,,,f
id-40475,fa6aa293182a4fed9f1ff00081585d0d,Mixroom Studios,Studio,,id-9413,,f
id-2662,53b3629904ca4dc089d47af31ad42a9e,DNA Music Labs,Studio,2057 Winnebago St Madison WI 53704 United States,id-5287,4309346189353908,f
id-33696,f0de5f4285ad4fdc977b8b4d327b7a45,Studio KOLKHOLZ,Studio,,,,f
id-43310,9e20a8c0398a4d1ab123c1e6ef0507bb,Kirishima International Concert Hall,Venue,,id-8000,31881308057,f
id-9800,6b09c407225740f4a510f42e6009e049,Mercer Arena,Indoor arena,Mercer Street  4th Avenue North Seattle WA 98109,id-9655,47623889122349444,t
id-43857,1d3afdb1553e44de8bf6939a7b83809f,Sahara Studio,Studio,,id-205,,f
id-56583,5b4819b0d7cd409c92475ba6a664195e,Mjölby folketspark,Park,,id-101137,,f
id-50860,0ff619868b694b6893c0b2d093c3aa2f,Mankes,Venue,Mankhauser Str 13 42699 Solingen Germany,id-23745,5116043701046,t
